Gene	ckcc_reference/TCGA-MP-A4T4-01	ckcc_reference/TCGA-KK-A8IG-01	ckcc_reference/TCGA-A8-A09Z-01	ckcc_reference/TCGA-DD-AAW1-01	ckcc_reference/TCGA-YL-A8SB-01	ckcc_reference/TCGA-HC-7817-01	ckcc_reference/TCGA-06-0649-01	ckcc_reference/TCGA-C5-A1BE-01	ckcc_reference/TARGET-21-PATISD-09	ckcc_reference/TCGA-K4-A5RH-01
A1BG	8.30930042267	6.50909996033	7.71129989624	15.2627000809	6.57709980011	7.30709981918	9.29790019989	4.32130002975	11.0696001053	5.66050004959
A1BG-AS1	9.33250045776	5.9766998291	7.82600021362	5.9265999794	6.72130012512	5.87370014191	7.84439992905	4.46449995041	9.21909999847	6.36929988861
A1CF	0.82800000906	0.0	0.0	13.9546003342	0.0	0.753499984741	0.0	0.577300012112	0.0	0.0
A2M	14.7325000763	15.4815998077	14.005200386	14.0201997757	16.1303005219	15.674200058	15.5142002106	11.7899999619	7.6185002327	14.5783004761
A2M-AS1	4.53709983826	6.61079978943	4.88950014114	5.66660022736	6.96640014648	5.88430023193	5.16359996796	4.16979980469	7.75579977036	7.71979999542
A2ML1	1.35070002079	7.12769985199	1.99380004406	0.0	6.67290019989	5.19640016556	9.28390026093	11.9300003052	4.41790008545	2.23189997673
A2MP1	0.0	0.869000017643	1.48010003567	2.55520009995	2.93300008774	2.14709997177	2.0164000988	0.0	1.36029994488	1.59909999371
A3GALT2	1.35070002079	0.869000017643	0.0	0.0	0.0	0.0	0.0	1.30820000172	0.0	0.496499985456
A4GALT	9.8938999176	10.1293001175	7.73729991913	7.19899988174	9.51539993286	10.399600029	8.10389995575	12.3870000839	2.86190009117	11.0067996979
A4GNT	2.03590011597	0.869000017643	0.0	0.0	1.30739998817	0.0	0.0	0.577300012112	0.0	0.496499985456
AACS	9.9172000885	10.570599556	9.67329978943	8.7047996521	10.5720996857	11.0074996948	9.01609992981	10.9114999771	9.27639961243	9.08240032196
AACSP1	0.0	1.4076000452	3.5531001091	0.0	1.68369996548	0.753499984741	1.0109000206	0.0	0.0	0.496499985456
AADAC	1.73360002041	0.0	0.0	15.3022003174	0.0	0.0	3.18930006027	2.44070005417	0.0	0.0
AADACL2	1.2648999691	0.0	0.0	0.0	1.30739998817	0.0	0.0	5.43359994888	0.0	0.0
AADACP1	2.03590011597	0.869000017643	1.48010003567	10.2997999191	1.30739998817	0.0	5.15049982071	3.93280005455	0.0	2.09990000725
AADAT	6.73369979858	9.05189990997	4.19379997253	7.38800001144	9.90089988708	9.51469993591	8.20160007477	7.61019992828	2.51149988174	7.4797000885
AAED1	9.65680027008	9.74209976196	9.4329996109	9.38580036163	9.43920040131	8.21909999847	9.21650028229	8.63889980316	10.1534996033	9.98779964447
AAK1	10.9089002609	11.1477003098	9.74330043793	10.1211004257	11.265999794	10.0081996918	10.3381004333	10.5621004105	10.6194000244	10.9479999542
AAMDC	8.06849956512	9.34459972382	8.75	9.62250041962	9.1687002182	9.0623998642	9.33920001984	7.63189983368	9.25049972534	9.3984003067
AANAT	2.68400001526	0.869000017643	0.0	0.0	0.79699999094	1.2460000515	5.57590007782	0.98860001564	0.0	2.75530004501
AARD	3.82559990883	3.21169996262	2.80029988289	0.0	5.1563000679	4.56279993057	2.82610011101	0.98860001564	0.0	1.95449995995
AARS	12.5657997131	12.5466003418	12.0392999649	13.5047998428	13.089099884	12.301199913	12.4932003021	12.4770002365	10.6646995544	12.629699707
AASS	8.02620029449	8.76169967651	9.01410007477	10.8458003998	9.12549972534	8.22239971161	9.26970005035	7.83519983292	10.6294002533	7.24580001831
AATBC	7.71099996567	3.21169996262	2.80029988289	3.55749988556	6.92129993439	6.36840009689	4.48029994965	8.57149982452	6.7906999588	5.56759977341
AATK	7.52309989929	7.78529977798	6.94600009918	4.29349994659	6.93310022354	7.9576997757	7.76319980621	4.59280014038	4.30810022354	6.57730007172
AATK-AS1	0.0	0.0	0.0	0.0	0.0	0.0	1.0109000206	0.0	0.0	0.0
AB019441.29	3.55960011482	4.30030012131	3.62400007248	3.18589997292	4.40339994431	4.3545999527	4.45179986954	2.74279999733	6.07119989395	3.90470004082
ABALON	5.63259983063	3.52410006523	5.33790016174	4.55620002747	4.43079996109	3.63619995117	4.71920013428	4.42409992218	6.69880008698	5.86369991302
ABAT	8.10550022125	12.0127000809	10.1379003525	13.7873001099	12.1933002472	11.0562000275	14.0993995667	9.02830028534	8.07999992371	7.50260019302
ABBA01017803.1	2.75029993057	2.17650008202	2.88310003281	1.40880000591	1.08469998837	3.20539999008	2.87280011177	1.98290002346	7.48290014267	1.75829994678
ABC12-49244600F4.4	2.41919994354	3.86660003662	0.0	4.96600008011	3.90450000763	3.91339993477	0.405900001526	0.16740000248	0.0	0.13030000031
ABC14-1080714F14.1	0.0	0.0	0.0	0.0	0.862800002098	0.0	0.0	1.66009998322	0.0	0.541999995708
ABC7-42404400C24.1	4.04540014267	5.55179977417	4.17959976196	3.39240002632	5.63969993591	7.10850000381	5.11789989471	1.97749996185	3.78880000114	3.98169994354
ABCA1	10.1721000671	9.1048002243	11.3843002319	12.3722000122	10.0347003937	9.78969955444	12.4982995987	11.4167003632	9.88109970093	10.6979999542
ABCA10	4.81409978867	5.0188999176	3.63159990311	4.97100019455	5.37820005417	4.13180017471	5.77629995346	6.8140001297	2.86190009117	5.32829999924
ABCA11P	7.44579982758	7.69140005112	6.71449995041	5.30240011215	7.98810005188	7.47749996185	7.2435002327	6.25470018387	5.48670005798	5.44869995117
